Geographic_Type,Name,Prosperity_Zone,Prosperity_Zone_Subregion,Peer_County_Type,Number_of_Local_Education_Agencies,Highest_Degree_Earned_25_44_year_olds_Less_than_HS,Highest_Degree_Earned_25_44_year_olds_HS_GED,Highest_Degree_Earned_25_44_year_olds_Some_College_No_Degree,Highest_Degree_Earned_25_44_year_olds_Associate,Highest_Degree_Earned_25_44_year_olds_Bachelors,Highest_Degree_Earned_25_44_year_olds_Masters_or_more,Total_Population_2018_Estimate,Total_Population_2030_Projection,K13_Students_Traditional_Schools,K13_Students_Charter_Private_Home_Schools,Median_Household_Income,Child_Poverty_Rate,Households_with_Broadband,Low_Performing_Schools_Num_of_schools_with_performance_grades,Low_Performing_Schools_Num_low_performing_schools,Low_Performing_Schools_Percent_Low_Performing_Schools,NC_Pre_K_Participation_Rate,College_and_Career_Ready_in_Reading,College_and_Career_Ready_in_Math,Percent_of_Schools_by_Academic_Growth_Status_Not_Met,Percent_of_Schools_by_Academic_Growth_Status_Met,Percent_of_Schools_by_Academic_Growth_Status_Exceeded,High_School_Graduation_Rate,FAFSA_Completion_Rate,Chronic_Absenteeism_Rate,Num_in_at_least_one_AP_course,AP_Participation_Rate,Num_earning_credit_in_a_college_course,Percent_earning_credit_in_a_college_course,CTE_concentrations_earned,CTE_Concentration_1,CTE_Concentration_2,CTE_Concentration_3,Enroll_in_Postsecondary_within_12_months,If_enroll_within_12 months_Persist_to_2nd_Year,If_enroll_within_12_months_Graduate_within_6_years,Students_per_School_Counselor,ApprenticeshipNC,NCCC_Basic_Skills_Enrollments,NCCC_Continuing_Education_Enrollments,Disconnected_Youth_Rate,Public_Postsecondary_UNC_NCCC_Outcomes_Total_Graduates_2018,Public_Postsecondary_UNC_NCCC_Outcomes:_Percent_of_Graduates_Employed_in_NC_after_5_Years,Public_Postsecondary_UNC_NCCC_Outcomes_Average_Wages_of_Graduates_Employed_in_NC_after_5_Years,Alignment_Rate,Alignment_Gap_1,Alignment_Gap_2,Alignment_Gap_3,Occupational_Projections_2017_2026_Total_Job_Openings,Occupational_Projections_2017_2026_Top_Job_1,Occupational_Projections_2017_2026_Top_Job_2,Occupational_Projections_2017_2026_Top_Job_3,Opportunity_1,Opportunity_2,Opportunity_3,Total_Degree_Credential_Seeking_Undergraduate_Enrollments,Percent_Graduate_or_Transfer_within_8_Years,american_indian_pub_students,asian_pacific_islander_pub_students,black_pub_students,hispanic_pub_students,multiracial_pub_students,white_pub_students,Postsecondary_Intentions,Cooperative_Innovative_High_Schools_Num_Enrolled_in_CIHS_9_13,Cooperative_Innovative_High_Schools_CIHS_Enrollment_Rate,Non_Traditional_K12_Enrollments_Num_Enrolled_in_Charter_Schools,Non_Traditional_K12_Enrollments_Num_Enrolled_in_Private_Schools,Non_Traditional_K12_Enrollments_Num_Enrolled_in_Home_Schools,Diversity_Index,Public_School_Expenditure_in_Thousands,Public_School_Expenditure,Expenditure_per_Student
State,North Carolina,North Carolina,North Carolina,,231,10%,22%,22%,10%,24%,12%,"10,389,148","11,836,070","1,410,673","347,681","$53,922",20%,78%,2306,439,19%,48%,45%,41%,26%,46%,27%,86%,64%,15%,"73,490",17%,"54,344",13%,"55,835","Agricultural, Food, & Natural Resources",Health Science,Hospitality & Tourism,61%,78%,54%,356,"11,399","67,228","385,475",7.10%,"87,155",68%,"$43,260",82%,Information Technology (bachelor's),"Transportation, Distribution & Logistics (below bachelor's)",Finance (bachelor's),"5,211,216",Registered Nurses,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",General and Operations Managers,NC Pre-K Enrollment,Low-Performing Schools,FAFSA Completion,"613,711",67%,1%,4%,24%,19%,6%,46%,79%,"27,001",6%,"109,051","102,400","142,037",100,0,0,0
County,Alamance County,Piedmont-Triad,Greensboro,Suburban,1,15%,23%,26%,10%,18%,7%,"166,638","192,656","22,579","5,708","$50,480",20%,76%,34,13,38%,42%,37%,34%,26%,57%,17%,83%,55%,20%,"1,162",17%,868,13%,"1,043","Agricultural, Food, & Natural Resources",Hospitality & Tourism,Architecture and Construction,57%,74%,53%,426,739,"6,843","34,670",9.20%,"8,688",71%,"$41,392",84%,"Transportation, Distribution & Logistics (below bachelor's)",Health Science (above bachelor's),Finance (bachelor's),"469,667",Registered Nurses,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",General and Operations Managers,Low-Performing Schools,Reading Performance,Math Performance,"71,877",72%,0%,2%,23%,27%,5%,42%,75%,223,3%,"1,767","1,636","2,305",13.35337044,222353,222353000,9847.77891
County,Alexander County,Northwest,Hickory,Rural Metro,1,15%,40%,19%,13%,9%,4%,"38,303","41,021","4,746",927,"$49,138",20%,70%,11,0,0%,45%,48%,46%,9%,82%,9%,83%,55%,10%,157,11%,287,21%,260,"Agricultural, Food, & Natural Resources",Architecture and Construction,Health Science,60%,81%,54%,297,300,"3,422","22,503",10.60%,"2,073",82%,"$33,373",64%,"Transportation, Distribution & Logistics (below bachelor's)",Health Science (above below bachelor's) and,Business Management & Administration (bachelor's),"188,511",Registered Nurses,First-Line Supervisors of Production and Operating Workers,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",NC Pre-K Enrollment,High School Graduation,Disconnected Youth,"16,315",52%,0%,1%,4%,11%,5%,78%,75%,186,14%,0,134,793,1.661608429,48607,48607000,10241.6772
County,Alleghany County,Northwest,Boone-Wilkesboro,Rural Non-Metro,1,28%,29%,24%,7%,9%,3%,"11,422","11,948","1,332",139,"$39,735",30%,71%,4,0,0%,81%,42%,45%,0%,50%,50%,89%,57%,16%,0,0%,108,26%,159,"Agricultural, Food, & Natural Resources","Arts, Audio/Video Technology, & Communications","Transportation, Distribution, & Logistics",54%,76%,51%,333,12,"1,740","8,809",12.70%,"5,225",70%,"$41,744",72%,"Transportation, Distribution & Logistics (below bachelor's)",n.a.,n.a.,"84,705",Registered Nurses,General and Operations Managers,First-Line Supervisors of Construction Trades and Extraction Workers,AP Participation,Disconnected Youth,Transition to Postsecondary,"28,661",75%,0%,0%,0%,25%,4%,71%,88%,0,0%,0,31,108,0.4403969464,17182,17182000,12899.3994
County,Anson County,Southwest,Charlotte,Rural Metro,1,17%,36%,26%,11%,8%,1%,"25,288","25,288","3,148",296,"$38,023",31%,69%,9,4,44%,103%,34%,26%,30%,50%,20%,83%,45%,28%,1,0%,355,37%,185,"Agricultural, Food, & Natural Resources",Information Technology,Health Science,43%,70%,46%,350,"3,322","12,019","64,398",4.90%,"12,162",74%,"$43,374",79%,Business Management & Administration (bachelor's),Finance (bachelor's),Information Technology (bachelor's),"1,361,336","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",General and Operations Managers,Registered Nurses,Low-Performing Schools,Transition to Postsecondary,Chronic Absenteeism,"107,538",68%,0%,2%,55%,6%,4%,33%,68%,231,24%,0,10,286,1.547774667,36665,36665000,11647.07751
County,Ashe County,Northwest,Boone-Wilkesboro,Rural Non-Metro,1,13%,27%,26%,14%,14%,6%,"27,606","30,906","2,946",617,"$41,864",26%,69%,6,0,0%,99%,56%,53%,33%,17%,50%,86%,56%,10%,109,12%,237,26%,126,Health Science,"Agricultural, Food, & Natural Resources","Science, Technology, Engineering, & Mathematics",67%,76%,61%,327,12,"1,740","8,809",5.30%,"5,225",70%,"$41,744",72%,"Transportation, Distribution & Logistics (below bachelor's)",n.a.,n.a.,"84,705",Registered Nurses,General and Operations Managers,First-Line Supervisors of Construction Trades and Extraction Workers,Adult Learners,FAFSA Completion,AP Participation,"28,661",75%,0%,0%,0%,12%,4%,82%,77%,60,7%,0,32,585,0.7391415509,33542,33542000,11385.6076
County,Avery County,Northwest,Boone-Wilkesboro,Rural Non-Metro,1,16%,29%,32%,9%,10%,4%,"18,057","18,031","1,910",527,"$41,701",25%,67%,9,1,11%,163%,51%,49%,11%,33%,56%,90%,67%,18%,77,14%,164,29%,85,Manufacturing,Health Science,"Agricultural, Food, & Natural Resources",54%,75%,60%,273,12,"1,740","8,809",1.10%,"5,225",70%,"$41,744",72%,"Transportation, Distribution & Logistics (below bachelor's)",n.a.,n.a.,"84,705",Registered Nurses,General and Operations Managers,First-Line Supervisors of Construction Trades and Extraction Workers,Adult Learners,Transition to Postsecondary,Chronic Absenteeism,"28,661",75%,0%,1%,0%,12%,3%,83%,73%,0,0%,147,70,310,0.4921610638,24747,24747000,12956.5445
County,Beaufort County,Northeast,Greenville,Rural Non-Metro,1,12%,30%,26%,15%,11%,7%,"47,475","47,575","6,370","1,447","$46,411",27%,65%,12,0,0%,62%,40%,38%,54%,31%,15%,83%,40%,18%,153,8%,434,22%,266,"Agricultural, Food, & Natural Resources",Hospitality & Tourism,Architecture and Construction,54%,75%,44%,375,347,"2,779","19,098",4.50%,"8,237",70%,"$47,838",84%,"Agriculture, Food & Natural Resources (bachelor's)","Transportation, Distribution & Logistics (bachelor's)",n.a.,"154,964",Registered Nurses,General and Operations Managers,First-Line Supervisors of Construction Trades and Extraction Workers,FAFSA Completion,Postsecondary Completion,Transition to Postsecondary,"44,903",70%,0%,0%,31%,17%,6%,46%,70%,267,13%,423,411,613,3.491849644,70862,70862000,11124.33281
County,Bertie County,Northeast,Greenville,Rural Non-Metro,1,18%,35%,26%,7%,9%,5%,"19,709","19,601","2,078",590,"$35,433",32%,56%,7,3,43%,93%,33%,24%,29%,29%,43%,78%,56%,19%,0,0%,187,28%,90,Information Technology,"Agricultural, Food, & Natural Resources","Arts, Audio/Video Technology, & Communications",53%,74%,40%,346,347,"2,779","19,098",6.30%,"8,237",70%,"$47,838",84%,"Agriculture, Food & Natural Resources (bachelor's)","Transportation, Distribution & Logistics (bachelor's)",n.a.,"154,964",Registered Nurses,General and Operations Managers,First-Line Supervisors of Construction Trades and Extraction Workers,Low-Performing Schools,Math Performance,AP Participation,"44,903",70%,0%,0%,80%,3%,5%,12%,73%,172,25%,77,371,142,0.6564224732,26389,26389000,12699.23003
County,Bladen County,Sandhills,Fayetteville-Lumberton,Rural Non-Metro,1,17%,33%,23%,12%,12%,3%,"34,566","33,912","4,120","1,132","$36,976",44%,65%,13,6,46%,88%,34%,25%,31%,69%,0%,92%,47%,16%,48,4%,345,25%,422,"Agricultural, Food, & Natural Resources",Health Science,Manufacturing,51%,69%,41%,375,"1,621","6,792","32,293",13.00%,"5,110",64%,"$36,969",75%,Health Science (above below bachelor's),Information Technology (bachelor's),Finance (bachelor's),"258,519",Registered Nurses,"Business Operations Specialists, All Other",General and Operations Managers,Low-Performing Schools,Math Performance,FAFSA Completion,"52,924",54%,2%,0%,36%,20%,6%,36%,71%,49,4%,621,88,423,2.475027242,48856,48856000,11858.25243
