"CTYNAME","pop2022","GrowthRate","popDensity","stateIndex"
"Alamance County","175471","16.1052","413.8904","1"
"Alexander County","36294","-2.4302","139.6085","2"
"Alleghany County","10834","-2.8776","46.0903","3"
"Anson County","21077","-21.7864","39.6593","4"
"Ashe County","26437","-3.0937","62.0367","5"
"Avery County","17808","0.0618","72.0732","6"
"Beaufort County","44030","-7.8080","53.2125","7"
"Bertie County","17264","-18.8798","24.6886","8"
"Bladen County","28490","-19.0395","32.5834","9"
"Brunswick County","142545","32.6852","167.8656","10"
"Buncombe County","275678","15.6765","419.8079","11"
"Burke County","86902","-4.4109","171.3642","12"
"Cabarrus County","235362","32.2177","650.6216","13"
"Caldwell County","80176","-3.4361","170.0208","14"
"Camden County","10431","4.5190","43.3620","15"
"Carteret County","67930","2.1980","134.1852","16"
"Caswell County","22540","-4.9707","53.0480","17"
"Catawba County","161860","4.8601","405.9459","18"
"Chatham County","78841","24.1493","115.5591","19"
"Cherokee County","29040","5.8155","63.7638","20"
"Chowan County","13492","-8.7947","78.2271","21"
"Clay County","11189","5.6862","52.1009","22"
"Cleveland County","99807","1.7629","214.9567","23"
"Columbus County","49127","-15.4412","52.4504","24"
"Craven County","100164","-3.2279","141.2834","25"
"Cumberland County","337788","5.7468","517.7053","26"
"Currituck County","29010","23.2004","110.7857","27"
"Dare County","37515","10.5985","97.8851","28"
"Davidson County","170140","4.4586","307.8451","29"
"Davie County","43006","4.2823","162.9625","30"
"Duplin County","46757","-20.0803","57.2876","31"
"Durham County","336283","25.6724","1175.7742","32"
"Edgecombe County","47370","-16.2364","93.7553","33"
"Forsyth County","388974","10.9231","952.9601","34"
"Franklin County","70163","15.7442","142.7030","35"
"Gaston County","232315","12.7272","652.5515","36"
"Gates County","10134","-16.9140","29.7669","37"
"Graham County","7864","-11.2516","26.9253","38"
"Granville County","61208","2.1564","115.2932","39"
"Greene County","20269","-5.1166","76.2198","40"
"Guilford County","551877","12.9955","854.6180","41"
"Halifax County","47408","-13.3166","65.4728","42"
"Harnett County","137346","19.7667","230.8427","43"
"Haywood County","62699","6.2047","113.2368","44"
"Henderson County","118189","10.7261","316.7887","45"
"Hertford County","20928","-15.1648","59.2760","46"
"Hoke County","53108","13.1113","135.9141","47"
"Hyde County","4345","-25.2151","7.0924","48"
"Iredell County","192145","20.5147","334.6229","49"
"Jackson County","43677","8.4577","88.9971","50"
"Johnston County","225423","33.4828","284.9473","51"
"Jones County","8976","-11.5926","19.0691","52"
"Lee County","64369","11.2380","252.4701","53"
"Lenoir County","54248","-8.8192","135.4244","54"
"Lincoln County","88518","13.1004","297.0812","55"
"Macon County","37632","10.9369","72.9920","56"
"Madison County","21279","2.4803","47.3385","57"
"Martin County","21537","-12.1118","46.6959","58"
"McDowell County","44494","-1.1157","100.9832","59"
"Mecklenburg County","1154652","25.5564","2206.0231","60"
"Mitchell County","14767","-5.2121","66.6868","61"
"Montgomery County","25341","-8.8388","51.5280","62"
"Moore County","102023","15.6107","146.1931","63"
"Nash County","94796","-1.0893","175.4170","64"
"New Hanover County","230310","13.6396","1201.0211","65"
"Northampton County","16545","-25.1324","30.8337","66"
"Onslow County","209936","18.0928","275.2262","67"
"Orange County","151676","13.3594","381.1096","68"
"Pamlico County","12102","-7.9276","35.9557","69"
"Pasquotank County","40550","-0.2730","178.7237","70"
"Pender County","61801","18.3542","71.0649","71"
"Perquimans County","12915","-3.9991","52.2453","72"
"Person County","39023","-1.1175","99.5418","73"
"Pitt County","170663","1.4957","261.8769","74"
"Polk County","19092","-6.9137","80.2938","75"
"Randolph County","144655","2.0479","185.0527","76"
"Richmond County","42208","-9.5006","89.0723","77"
"Robeson County","113002","-15.7757","119.0736","78"
"Rockingham County","90586","-3.2645","160.1726","79"
"Rowan County","148565","7.3229","290.5871","80"
"Rutherford County","63770","-5.9578","113.0586","81"
"Sampson County","58156","-8.3161","61.5589","82"
"Scotland County","33778","-6.5796","105.9375","83"
"Stanly County","62888","3.8013","159.1760","84"
"Stokes County","43944","-7.2931","97.9013","85"
"Surry County","70897","-3.7680","133.2233","86"
"Swain County","14145","1.1730","26.7900","87"
"Transylvania County","32966","-0.3747","87.0895","88"
"Tyrrell County","3013","-31.6315","7.7447","89"
"Union County","245663","22.0431","388.9282","90"
"Vance County","42010","-7.5118","165.7018","91"
"Wake County","1175094","30.4221","1406.7485","92"
"Warren County","18176","-13.3321","42.4221","93"
"Washington County","10559","-20.1769","30.3302","94"
"Watauga County","54688","7.0655","174.9737","95"
"Wayne County","116275","-5.1768","210.2622","96"
"Wilkes County","65295","-5.8336","86.5667","97"
"Wilson County","78294","-3.6192","212.6734","98"
"Yadkin County","36976","-3.7234","110.4324","99"
"Yancey County","18600","4.3888","59.5018","100"
